"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"20","0.3790000081062317","0.3790000081062317","0.3790000081062317","0.3619999587535858","0.3619999587535858","0.3619999587535858","0.28999999165534973","0.28999999165534973","0.28999999165534973","0.38100001215934753","0.38100001215934753","0.38100001215934753","0.34200000762939453","0.34200000762939453","0.34200000762939453","0.3869999945163727","0.3869999945163727","0.3869999945163727","0.3630000054836273","0.3630000054836273","0.3630000054836273","0.3630000054836273","0.3630000054836273","0.3630000054836273","0.44200003147125244","0.44200003147125244","0.44200003147125244","0.15000000596046448","0.15000000596046448","0.15000000596046448"
"21","0.35899999737739563","0.35899999737739563","0.35899999737739563","0.4440000057220459","0.4440000057220459","0.4440000057220459","0.27799999713897705","0.27799999713897705","0.27799999713897705","0.37299999594688416","0.37299999594688416","0.37299999594688416","0.33799999952316284","0.33799999952316284","0.33799999952316284","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.36399999260902405","0.36399999260902405","0.36399999260902405","0.41999998688697815","0.41999998688697815","0.41999998688697815","0.4009999930858612","0.4009999930858612","0.4009999930858612","0.1979999989271164","0.1979999989271164","0.1979999989271164"
"22","0.3790000081062317","0.3790000081062317","0.3790000081062317","0.3799999952316284","0.3799999952316284","0.3799999952316284","0.29600000381469727","0.29600000381469727","0.29600000381469727","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.3580000102519989","0.3580000102519989","0.3580000102519989","0.38600000739097595","0.38600000739097595","0.38600000739097595","0.3649999797344208","0.3649999797344208","0.3649999797344208","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.43799999356269836","0.43799999356269836","0.43799999356269836","0.15800000727176666","0.15800000727176666","0.15800000727176666"
"23","0.3569999933242798","0.3569999933242798","0.3569999933242798","0.4309999942779541","0.4309999942779541","0.4309999942779541","0.2930000126361847","0.2930000126361847","0.2930000126361847","0.37400004267692566","0.37400004267692566","0.37400004267692566","0.3580000102519989","0.3580000102519989","0.3580000102519989","0.4050000309944153","0.4050000309944153","0.4050000309944153","0.35899999737739563","0.35899999737739563","0.35899999737739563","0.4259999990463257","0.4259999990463257","0.4259999990463257","0.40799999237060547","0.40799999237060547","0.40799999237060547","0.19699999690055847","0.19699999690055847","0.19699999690055847"
"24","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.367000013589859","0.367000013589859","0.367000013589859","0.3009999990463257","0.3009999990463257","0.3009999990463257","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.3880000412464142","0.3880000412464142","0.3880000412464142","0.38100001215934753","0.38100001215934753","0.38100001215934753","0.3610000014305115","0.3610000014305115","0.3610000014305115","0.38999998569488525","0.38999998569488525","0.38999998569488525","0.43799999356269836","0.43799999356269836","0.43799999356269836","0.18799997866153717","0.18799997866153717","0.18799997866153717"
"25","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.4429999887943268","0.4429999887943268","0.4429999887943268","0.33000001311302185","0.33000001311302185","0.33000001311302185","0.367000013589859","0.367000013589859","0.367000013589859","0.39399999380111694","0.39399999380111694","0.39399999380111694","0.4009999930858612","0.4009999930858612","0.4009999930858612","0.3540000021457672","0.3540000021457672","0.3540000021457672","0.43700000643730164","0.43700000643730164","0.43700000643730164","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"26","0.3790000081062317","0.3790000081062317","0.3790000081062317","0.36399999260902405","0.36399999260902405","0.36399999260902405","0.30799996852874756","0.30799996852874756","0.30799996852874756","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.41899996995925903","0.41899996995925903","0.41899996995925903","0.382999986410141","0.382999986410141","0.382999986410141","0.35899999737739563","0.35899999737739563","0.35899999737739563","0.3580000102519989","0.3580000102519989","0.3580000102519989","0.4749999940395355","0.4749999940395355","0.4749999940395355","0.22100001573562622","0.22100001573562622","0.22100001573562622"
"27","0.3569999933242798","0.3569999933242798","0.3569999933242798","0.4269999861717224","0.4269999861717224","0.4269999861717224","0.36899998784065247","0.36899998784065247","0.36899998784065247","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.42399999499320984","0.42399999499320984","0.42399999499320984","0.40400001406669617","0.40400001406669617","0.40400001406669617","0.3529999852180481","0.3529999852180481","0.3529999852180481","0.43299996852874756","0.43299996852874756","0.43299996852874756","0.4399999976158142","0.4399999976158142","0.4399999976158142","0.2150000035762787","0.2150000035762787","0.2150000035762787"
"28","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.37700000405311584","0.32899999618530273","0.32899999618530273","0.32899999618530273","0.3779999911785126","0.3779999911785126","0.3779999911785126","0.41899996995925903","0.41899996995925903","0.41899996995925903","0.382999986410141","0.382999986410141","0.382999986410141","0.3569999933242798","0.3569999933242798","0.3569999933242798","0.3819999694824219","0.3819999694824219","0.3819999694824219","0.5070000290870667","0.5070000290870667","0.5070000290870667","0.23799999058246613","0.23799999058246613","0.23799999058246613"
"29","0.36000001430511475","0.36000001430511475","0.36000001430511475","0.41999998688697815","0.41999998688697815","0.41999998688697815","0.3880000412464142","0.3880000412464142","0.3880000412464142","0.3619999587535858","0.3619999587535858","0.3619999587535858","0.4429999887943268","0.4429999887943268","0.4429999887943268","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.3580000102519989","0.3580000102519989","0.3580000102519989","0.43799999356269836","0.43799999356269836","0.43799999356269836","0.45399999618530273","0.45399999618530273","0.45399999618530273","0.22800001502037048","0.22800001502037048","0.22800001502037048"
